country,region,sub_region,county,measure,year,value
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2000,3757
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2001,3594
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2002,3738
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2003,3276
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2004,3348
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2005,4355
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2006,3233
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2007,3170
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2008,3187
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2009,3351
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2010,3963
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2011,3799
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2012,3291
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2013,3290
Magyarország,Dunántúl,Dél-Dunántúl,Somogy,Bünelkövetö összesen,2014,3288
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2000,2943
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2001,3250
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2002,3130
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2003,2559
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2004,3106
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2005,2901
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2006,2888
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2007,2659
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2008,2895
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2009,2753
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2010,3511
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2011,2794
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2012,2508
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2013,2434
Magyarország,Dunántúl,Dél-Dunántúl,Tolna,Bünelkövetö összesen,2014,2370
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2000,11128
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2001,10586
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2002,9912
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2003,9347
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2004,10635
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2005,11605
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2006,10724
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2007,10614
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2008,11011
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2009,10392
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2010,11221
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2011,10024
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2012,10069
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2013,9929
Magyarország,Alföld és Észak,Észak-Magyarország,Borsod-Abaúj-Zemplén,Bünelkövetö összesen,2014,9979
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2000,3763
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2001,4566
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2002,4356
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2003,4148
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2004,4394
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2005,4315
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2006,3637
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2007,3721
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2008,3747
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2009,3684
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2010,4098
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2011,3803
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2012,3219
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2013,3339
Magyarország,Alföld és Észak,Észak-Magyarország,Heves,Bünelkövetö összesen,2014,3492
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2000,2563
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2001,2505
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2002,2843
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2003,2643
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2004,2785
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2005,3076
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2006,2819
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2007,2659
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2008,3013
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2009,2957
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2010,3026
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2011,3147
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2012,2772
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2013,2529
Magyarország,Alföld és Észak,Észak-Magyarország,Nógrád,Bünelkövetö összesen,2014,2645
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2000,7154
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2001,7356
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2002,7231
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2003,6329
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2004,7306
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2005,7442
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2006,7746
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2007,7013
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2008,7372
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2009,6623
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2010,7495
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2011,6919
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2012,5737
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2013,6383
Magyarország,Alföld és Észak,Észak-Alföld,Hajdú-Bihar,Bünelkövetö összesen,2014,6538
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2000,5001
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2001,4908
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2002,5279
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2003,4990
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2004,5339
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2005,5542
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2006,5311
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2007,5462
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2008,4997
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2009,4889
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2010,5218
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2011,5490
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2012,4400
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2013,4805
Magyarország,Alföld és Észak,Észak-Alföld,Jász-Nagykun-Szolnok,Bünelkövetö összesen,2014,4851
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2000,8840
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2001,7825
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2002,7782
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2003,7601
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2004,8318
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2005,9053
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2006,8696
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2007,9243
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2008,9524
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2009,8526
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2010,9607
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2011,8436
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2012,7757
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2013,8521
Magyarország,Alföld és Észak,Észak-Alföld,Szabolcs-Szatmár-Bereg,Bünelkövetö összesen,2014,8235
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2000,5994
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2001,5683
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2002,6330
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2003,5884
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2004,6474
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2005,6490
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2006,6805
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2007,6874
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2008,6716
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2009,5400
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2010,6111
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2011,5441
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2012,5637
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2013,5881
Magyarország,Alföld és Észak,Dél-Alföld,Bács-Kiskun,Bünelkövetö összesen,2014,6051
Magyarország,Alföld és Észak,Dél-Alföld,Békés,Bünelkövetö összesen,2000,4151
Magyarország,Alföld és Észak,Dél-Alföld,Békés,Bünelkövetö összesen,2001,4535
Magyarország,Alföld és Észak,Dél-Alföld,Békés,Bünelkövetö összesen,2002,4431
Magyarország,Alföld és Észak,Dél-Alföld,Békés,Bünelkövetö összesen,2003,4079
